province,x,y
Aceh,-473.0,164.0
Sumatera Utara,-412.0,126.0
Sumatera Barat,-405.0,29.0
Riau,-347.0,68.0
Kepulauan Riau,-283.0,77.0
Jambi,-320.0,18.0
Sumatera Selatan,-291.0,-14.0
Bengkulu,-353.0,-30.0
Kepulauan Bangka Belitung,-239.0,13.0
Lampung,-282.0,-56.0
Banten,-269.0,-92.0
Dki Jakarta,-233.0,-73.0
Jawa Barat,-235.0,-102.0
Jawa Tengah,-164.0,-87.0
Di Yogyakarta,-165.0,-121.0
Jawa Timur,-107.0,-100.0
Bali,-65.0,-125.0
Nusa Tenggara Barat,-12.0,-118.0
Nusa Tenggara Timur,81.0,-143.0
Kalimantan Barat,-168.0,61.0
Kalimantan Tengah,-122.0,19.0
Kalimantan Selatan,-61.0,-15.0
Kalimantan Timur,-31.0,51.0
Kalimantan Utara,-42.0,140.0
Sulawesi Utara,147.0,92.0
Gorontalo,90.0,79.0
Sulawesi Tengah,73.0,33.0
Sulawesi Barat,6.0,5.0
Sulawesi Selatan,19.0,-45.0
Sulawesi Tenggara,94.0,-40.0
Maluku,229.0,-64.0
Maluku Utara,166.0,35.0
Papua Barat,310.0,-9.0
Papua,427.0,13.0
Papua Tengah,377.0,-31.0
Papua Pegunungan,446.0,-30.0
Papua Selatan,458.0,-99.0
Papua Barat Daya,285.0,34.0
